 -0.38143644E-01  0.32502463E-01  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03 -0.31979527E-01  0.26757890E-01  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03 -0.25811290E-01  0.20840267E-01  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03 -0.19966418E-01  0.14784895E-01  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03 -0.15376143E-01  0.97866919E-02  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03 -0.61633085E-02  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.97866919E-02 -0.15376143E-01  0.80461920E-03  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.14784895E-01 -0.19966418E-01  0.78435813E-03  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.20840267E-01 -0.25811290E-01  0.55400460E-03  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.26757890E-01 -0.31979527E-01  0.36481447E-03
  0.36481447E-03  0.55400460E-03  0.78435813E-03  0.80461920E-03  0.57385784E-03  0.39669164E-03  0.57385784E-03  0.80461920E-03  0.78435813E-03  0.32502463E-01 -0.38143644E-01
